name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
RA1	SEEG	µV	0.0	512.0	ctx_rh_G_insular_short	1024.0	n/a
RA2	SEEG	µV	0.0	512.0	ctx_rh_G_insular_short	1024.0	n/a
RA3	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RA4	SEEG	µV	0.0	512.0	ctx_rh_G_front_inf-Orbital	1024.0	n/a
RA5	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RA6	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RA7	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-ant-Horizont	1024.0	n/a
RA8	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RA9	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RA10	SEEG	µV	0.0	512.0	ctx_rh_G_front_middle	1024.0	n/a
RA11	SEEG	µV	0.0	512.0	ctx_rh_G_front_middle	1024.0	n/a
RA12	SEEG	µV	0.0	512.0	ctx_rh_G_front_middle	1024.0	n/a
RB1	SEEG	µV	0.0	512.0	ctx_rh_G_front_inf-Opercular	1024.0	n/a
RB2	SEEG	µV	0.0	512.0	ctx_rh_G_front_inf-Opercular	1024.0	n/a
RB3	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RB4	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RB5	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RB6	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RB7	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RB8	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RC1	SEEG	µV	0.0	512.0	ctx_rh_G_Ins_lg_and_S_cent_ins	1024.0	n/a
RC2	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RC3	SEEG	µV	0.0	512.0	ctx_rh_G_and_S_subcentral	1024.0	n/a
RC4	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RC5	SEEG	µV	0.0	512.0	ctx_rh_G_and_S_subcentral	1024.0	n/a
RC6	SEEG	µV	0.0	512.0	ctx_rh_G_and_S_subcentral	1024.0	n/a
RC7	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RC8	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RD1	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-post	1024.0	n/a
RD2	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-post	1024.0	n/a
RD3	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RD4	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RD5	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RD6	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RD7	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RD8	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RE1	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-post	1024.0	n/a
RE2	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-post	1024.0	n/a
RE3	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE4	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE5	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE6	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE7	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE8	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE9	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RE10	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RE11	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RE12	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RL1	SEEG	µV	0.0	512.0	ctx_rh_S_postcentral	1024.0	n/a
RL2	SEEG	µV	0.0	512.0	ctx_rh_S_postcentral	1024.0	n/a
RL3	SEEG	µV	0.0	512.0	ctx_rh_S_postcentral	1024.0	n/a
RL4	SEEG	µV	0.0	512.0	ctx_rh_S_postcentral	1024.0	n/a
RL5	SEEG	µV	0.0	512.0	ctx_rh_G_postcentral	1024.0	n/a
RL6	SEEG	µV	0.0	512.0	ctx_rh_G_postcentral	1024.0	n/a
RL7	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RL8	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RN1	SEEG	µV	0.0	512.0	ctx_rh_G_temp_sup-Plan_tempo	1024.0	n/a
RN2	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RN3	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RN4	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RN5	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RN6	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RN7	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RN8	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RP1	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RP2	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RP3	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RP4	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RP5	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RQ1	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RQ2	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RQ3	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RQ4	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RQ5	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RQ6	SEEG	µV	0.0	512.0	ctx_rh_G_pariet_inf-Supramar	1024.0	n/a
RQ7	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RQ8	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RT1	SEEG	µV	0.0	512.0	Right-Putamen	1024.0	n/a
RT2	SEEG	µV	0.0	512.0	ctx_rh_S_circular_insula_inf	1024.0	n/a
RT3	SEEG	µV	0.0	512.0	ctx_rh_S_circular_insula_inf	1024.0	n/a
RT4	SEEG	µV	0.0	512.0	ctx_rh_S_circular_insula_inf	1024.0	n/a
RT5	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RT6	SEEG	µV	0.0	512.0	ctx_rh_S_temporal_sup	1024.0	n/a
RT7	SEEG	µV	0.0	512.0	ctx_rh_S_temporal_sup	1024.0	n/a
RT8	SEEG	µV	0.0	512.0	ctx_rh_G_temporal_middle	1024.0	n/a
RT9	SEEG	µV	0.0	512.0	ctx_rh_G_temporal_middle	1024.0	n/a
RT10	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RX1	SEEG	µV	0.0	512.0	ctx_rh_S_circular_insula_inf	1024.0	n/a
RX2	SEEG	µV	0.0	512.0	ctx_rh_G_Ins_lg_and_S_cent_ins	1024.0	n/a
RX3	SEEG	µV	0.0	512.0	ctx_rh_G_Ins_lg_and_S_cent_ins	1024.0	n/a
RX4	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX5	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX6	SEEG	µV	0.0	512.0	ctx_rh_S_circular_insula_sup	1024.0	n/a
RX7	SEEG	µV	0.0	512.0	ctx_rh_S_circular_insula_sup	1024.0	n/a
RX8	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX9	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX10	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX11	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX12	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX14	SEEG	µV	0.0	512.0	ctx_rh_S_front_inf	1024.0	n/a
RX15	SEEG	µV	0.0	512.0	ctx_rh_G_front_middle	1024.0	n/a
RY1	SEEG	µV	0.0	512.0	ctx_rh_S_circular_insula_inf	1024.0	n/a
RY2	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-post	1024.0	n/a
RY3	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-post	1024.0	n/a
RY4	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-post	1024.0	n/a
RY5	SEEG	µV	0.0	512.0	ctx_rh_Lat_Fis-post	1024.0	n/a
RY6	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RY7	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RY8	SEEG	µV	0.0	512.0	ctx_rh_S_central	1024.0	n/a
RY9	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RY11	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RY12	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RY13	SEEG	µV	0.0	512.0	ctx_rh_S_precentral-sup-part	1024.0	n/a
RY14	SEEG	µV	0.0	512.0	ctx_rh_G_precentral	1024.0	n/a
RY15	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
